Countries	Bildung	Einwanderung/Fluechtlinge	Erotik	Karriere/Beruf	Kulinarisches	Kultur	Medien	Medizin	Mode	Musik	Netzpolitik/Datenschutz	Politik	Recht	Religion	Sport	Terrorismus	Tierschutz	Umwelt	Ungluecke	Unternehmen	Urlaub	Verbrechen	Wirtschaft/Finanzen	soziale Netzwerke	undef
england	2623	35	160	541	311	148	194	23	209	112	1	548	99	79	1546	56	77	69	42	70	1187	148	615	476	14374
portugal	27	3	4	24	38	20	20	3	14	10	0	99	8	8	190	5	5	5	1	8	225	4	52	28	905
schweden	129	40	22	122	91	40	363	5	53	28	0	383	38	24	577	23	50	27	23	68	379	20	160	82	4140
schottland	27	9	10	62	96	35	31	13	51	16	0	121	16	24	794	3	13	18	9	13	252	11	77	52	2648
russland	171	30	23	139	11	22	138	0	93	4	0	26458	53	11	314	30	33	48	79	50	257	108	146	11	0
nordirland	5	0	1	0	4	0	2	0	2	1	0	7	1	0	14	1	2	0	0	0	18	8	3	0	138
kroatien	28	0	5	23	22	4	3	4	12	6	0	43	5	4	106	9	9	2	5	5	195	4	49	32	896
grossbritannien	3	3	4	10	6	6	15	1	7	1	0	59	12	2	25	6	7	4	1	11	35	7	26	2	393
ungarn	34	28	16	45	34	10	23	7	8	7	1	184	33	20	109	4	12	16	5	4	214	9	50	15	1004
polen	110	24	40	81	88	37	77	2	32	21	0	673	44	37	437	17	20	20	53	56	236	34	139	40	2803
irland	40	32	74	30	74	28	38	3	27	18	4	123	205	10	170	5	23	10	2	18	337	6	92	37	1992
frankreich	1219	126	172	366	323	162	324	16	438	79	13	1264	231	168	1808	255	59	120	178	51	1563	126	676	196	12305
tschechien	38	7	42	33	42	27	54	1	11	7	0	190	14	6	322	19	13	7	14	4	250	12	66	25	1378
italien	277	328	908	173	330	97	97	19	489	38	2	605	130	205	1099	51	28	42	73	56	1164	89	474	132	7379
spanien	753	21	66	277	266	103	212	23	86	39	1	557	115	67	7881	124	51	26	76	108	1231	42	420	157	8656
niederlande	55	14	22	82	37	22	21	5	8	10	33	154	49	6	213	22	9	15	4	25	138	3	92	41	1303
ukraine	59	62	27	103	77	24	290	1	48	20	1	5927	105	29	286	249	34	34	51	10	204	276	331	52	3380
holland	63	31	47	52	128	105	44	10	45	29	6	138	69	12	300	13	24	45	18	11	750	24	151	60	4230
griechenland	15	24	3	21	13	7	105	3	3	1	0	1129	17	2	30	1	4	4	3	6	55	7	485	4	915
finnland	203	9	2	71	54	42	64	3	19	22	0	505	35	39	223	7	11	24	5	6	232	3	141	27	2439
norwegen	48	6	6	19	51	14	21	1	16	10	24	130	19	15	127	9	12	9	3	3	249	17	47	33	1461
grossbrittanien	26	13	14	43	47	41	139	9	33	7	1	712	62	10	122	18	12	25	16	13	112	30	118	34	2549
uk	120	17	289	312	103	66	113	25	276	43	5	417	118	35	866	29	20	68	20	228	491	42	370	115	6515
tuerkei	34	20	5	23	28	7	12	3	13	3	0	205	24	66	113	30	6	16	21	7	110	60	35	25	837
bulgarien	33	76	28	42	32	9	19	3	64	7	18	86	45	9	66	4	45	2	23	2	156	6	47	55	1250
daenemark	49	19	5	17	26	15	11	4	24	11	1	110	23	14	151	23	19	21	3	7	183	5	77	24	1213
