Countries	Bildung	Einwanderung/Fluechtlinge	Erotik	Karriere/Beruf	Kulinarisches	Kultur	Medien	Medizin	Mode	Musik	Netzpolitik/Datenschutz	Politik	Recht	Religion	Sport	Terrorismus	Tierschutz	Umwelt	Ungluecke	Unternehmen	Urlaub	Verbrechen	Wirtschaft/Finanzen	soziale Netzwerke	undef
schweden	138	47	26	119	91	35	250	8	49	53	3	415	35	24	586	34	48	30	23	70	390	25	163	85	4140
ukraine	70	84	27	84	70	21	259	3	35	41	1	5706	102	43	281	347	30	27	49	8	221	337	393	61	3380
irland	40	34	77	31	77	26	33	3	22	22	4	112	205	10	168	6	18	10	3	14	352	6	93	40	1992
uk	2803	76	500	847	443	253	544	60	466	190	5	1668	268	132	2565	108	122	140	92	303	1950	219	1068	658	23826
portugal	24	3	4	25	42	17	15	3	14	11	0	99	7	7	188	6	5	5	1	8	236	4	49	28	905
frankreich	1258	122	182	336	322	163	344	21	387	100	20	1231	208	183	1829	244	54	110	155	48	1663	139	612	202	12305
tschechien	39	6	43	31	41	25	61	1	9	13	0	191	11	13	298	17	12	7	15	4	254	10	79	24	1378
polen	110	25	42	78	83	36	69	2	27	28	0	679	36	41	458	22	15	21	55	39	246	28	138	40	2803
italien	279	334	945	166	314	107	91	21	459	42	2	565	132	209	1112	45	24	37	129	56	1200	41	459	137	7379
griechenland	18	24	3	18	15	6	86	4	1	2	0	1102	13	4	23	3	1	1	3	7	61	16	525	6	915
finnland	217	10	2	65	52	42	51	4	16	35	0	494	29	51	224	5	10	24	6	9	238	3	130	30	2439
norwegen	55	7	6	15	44	14	20	2	15	14	23	133	17	19	126	8	11	9	3	4	253	12	46	33	1461
spanien	748	25	75	263	266	102	198	31	71	51	0	535	87	86	7851	118	43	25	50	97	1325	43	440	172	8656
niederlande	117	46	65	140	162	121	57	16	41	47	41	272	112	20	473	31	28	57	20	36	885	33	237	105	5435
ungarn	39	29	15	52	33	12	30	6	5	10	1	169	33	22	106	5	11	17	4	5	214	9	48	13	1004
russland	80	13	24	44	13	6	126	0	13	24	1	26675	42	42	375	23	7	6	34	5	216	89	359	12	0
schottland	27	9	11	59	96	30	33	13	49	24	0	120	14	25	795	1	14	18	8	14	250	10	82	51	2648
tuerkei	35	23	5	20	30	8	13	3	9	4	0	223	21	64	112	24	5	15	22	7	103	54	39	27	837
kroatien	29	0	3	17	22	4	4	5	8	7	0	42	6	5	107	8	3	2	5	3	206	7	50	32	896
bulgarien	35	78	26	37	29	7	22	4	58	8	17	92	44	10	69	3	47	2	18	2	153	6	55	55	1250
daenemark	52	21	5	15	27	16	9	4	20	13	1	122	15	15	144	23	11	21	4	9	183	6	80	26	1213
