Countries	Bildung	Einwanderung/Fluechtlinge	Erotik	Karriere/Beruf	Kulinarisches	Kultur	Medien	Medizin	Mode	Musik	Netzpolitik/Datenschutz	Politik	Recht	Religion	Sport	Terrorismus	Tierschutz	Umwelt	Ungluecke	Unternehmen	Urlaub	Verbrechen	Wirtschaft/Finanzen	soziale Netzwerke	undef
schweden	24	13	9	33	25	5	10	1	8	14	0	133	13	12	231	13	20	13	15	25	86	17	61	27	1453
ukraine	24	29	1	41	24	7	91	3	3	15	1	2558	65	15	100	180	15	7	40	3	93	261	171	25	1287
irland	6	13	2	11	27	5	9	0	1	6	1	35	34	2	47	5	6	0	2	5	82	2	17	5	440
uk	605	32	62	266	106	64	193	14	48	69	1	482	96	57	698	57	33	36	65	95	436	128	355	172	6286
portugal	4	0	2	10	9	1	9	1	0	2	0	40	3	0	67	3	1	3	0	2	37	1	23	1	225
frankreich	290	44	60	130	93	33	149	10	126	21	8	541	74	76	745	120	19	36	116	12	521	65	228	62	3798
tschechien	14	0	5	7	9	4	25	1	1	3	0	54	3	8	74	13	8	2	10	2	70	10	25	8	338
polen	27	8	10	24	32	9	22	0	4	6	0	247	12	21	156	12	9	10	20	9	61	21	44	8	811
italien	53	137	4	53	71	14	48	3	27	9	0	258	63	60	376	30	10	17	114	17	282	25	128	41	1797
griechenland	3	5	0	7	7	1	44	1	0	0	0	464	8	1	8	2	0	0	1	1	23	2	230	2	399
finnland	18	1	0	14	11	7	10	1	2	5	0	92	4	1	42	3	1	2	0	2	37	2	19	10	470
norwegen	6	3	1	5	5	3	8	0	2	3	14	43	4	6	35	3	8	4	1	1	46	6	6	10	320
spanien	121	9	19	73	55	27	71	8	8	17	0	193	32	27	2748	60	16	14	37	20	394	22	168	34	2490
niederlande	23	18	19	33	32	21	15	1	6	7	19	116	39	7	160	15	17	13	11	8	177	18	57	47	1341
ungarn	3	14	3	23	8	3	9	1	2	4	0	65	22	7	40	2	3	9	2	0	36	6	22	3	287
russland	16	6	3	14	2	3	34	0	1	9	1	9773	19	14	134	11	4	4	18	0	69	41	145	2	0
schottland	9	3	2	22	20	3	4	6	5	7	0	38	2	6	302	1	3	0	4	4	49	6	26	14	628
tuerkei	13	15	1	9	10	1	4	3	1	1	0	115	11	32	47	9	3	9	16	3	23	42	11	14	326
kroatien	2	0	0	7	3	0	2	1	0	2	0	11	1	1	40	8	1	0	4	0	25	5	7	6	188
bulgarien	7	63	3	15	4	2	5	1	2	1	7	39	22	3	15	2	11	1	13	0	32	2	20	6	317
daenemark	7	7	1	4	3	1	4	0	3	4	0	29	7	4	40	19	7	4	1	3	36	4	26	6	304
