Countries	Bildung	Einwanderung/Fluechtlinge	Erotik	Karriere/Beruf	Kulinarisches	Kultur	Medien	Medizin	Mode	Musik	Netzpolitik/Datenschutz	Politik	Recht	Religion	Sport	Terrorismus	Tierschutz	Umwelt	Ungluecke	Unternehmen	Urlaub	Verbrechen	Wirtschaft/Finanzen	soziale Netzwerke	undef
schweden	114	34	17	86	66	30	240	7	41	39	3	282	22	12	355	21	28	17	8	45	304	8	102	58	2687
ukraine	46	55	26	43	46	14	168	0	32	26	0	3148	37	28	181	167	15	20	9	5	128	76	222	36	2093
irland	34	21	75	20	50	21	24	3	21	16	3	77	171	8	121	1	12	10	1	9	270	4	76	35	1552
uk	2198	44	438	581	337	189	351	46	418	121	4	1186	172	75	1867	51	89	104	27	208	1514	91	713	486	17540
portugal	20	3	2	15	33	16	6	2	14	9	0	59	4	7	121	3	4	2	1	6	199	3	26	27	680
frankreich	968	78	122	206	229	130	195	11	261	79	12	690	134	107	1084	124	35	74	39	36	1142	74	384	140	8507
tschechien	25	6	38	24	32	21	36	0	8	10	0	137	8	5	224	4	4	5	5	2	184	0	54	16	1040
polen	83	17	32	54	51	27	47	2	23	22	0	432	24	20	302	10	6	11	35	30	185	7	94	32	1992
italien	226	197	941	113	243	93	43	18	432	33	2	307	69	149	736	15	14	20	15	39	918	16	331	96	5582
griechenland	15	19	3	11	8	5	42	3	1	2	0	638	5	3	15	1	1	1	2	6	38	14	295	4	516
finnland	199	9	2	51	41	35	41	3	14	30	0	402	25	50	182	2	9	22	6	7	201	1	111	20	1969
norwegen	49	4	5	10	39	11	12	2	13	11	9	90	13	13	91	5	3	5	2	3	207	6	40	23	1141
spanien	627	16	56	190	211	75	127	23	63	34	0	342	55	59	5103	58	27	11	13	77	931	21	272	138	6166
niederlande	94	28	46	107	130	100	42	15	35	40	22	156	73	13	313	16	11	44	9	28	708	15	180	58	4094
ungarn	36	15	12	29	25	9	21	5	3	6	1	104	11	15	66	3	8	8	2	5	178	3	26	10	717
russland	64	7	21	30	11	3	92	0	12	15	0	16902	23	28	241	12	3	2	16	5	147	48	214	10	0
schottland	18	6	9	37	76	27	29	7	44	17	0	82	12	19	493	0	11	18	4	10	201	4	56	37	2020
tuerkei	22	8	4	11	20	7	9	0	8	3	0	108	10	32	65	15	2	6	6	4	80	12	28	13	511
kroatien	27	0	3	10	19	4	2	4	8	5	0	31	5	4	67	0	2	2	1	3	181	2	43	26	708
bulgarien	28	15	23	22	25	5	17	3	56	7	10	53	22	7	54	1	36	1	5	2	121	4	35	49	933
daenemark	45	14	4	11	24	15	5	4	17	9	1	93	8	11	104	4	4	17	3	6	147	2	54	20	909
