Countries	Bildung	Einwanderung/Fluechtlinge	Erotik	Karriere/Beruf	Kulinarisches	Kultur	Medien	Medizin	Mode	Musik	Netzpolitik/Datenschutz	Politik	Recht	Religion	Sport	Terrorismus	Tierschutz	Umwelt	Ungluecke	Unternehmen	Urlaub	Verbrechen	Wirtschaft/Finanzen	soziale Netzwerke
portugal	83,33	100	50	60	78,57	94,12	40	66,67	100	81,82	#DIV/0!	59,6	57,14	100	64,36	50	80	40	100	75	84,32	75	53,06	96,43
bulgarien	80	19,23	88,46	59,46	86,21	71,43	77,27	75	96,55	87,5	58,82	57,61	50	70	78,26	33,33	76,6	50	27,78	100	79,08	66,67	63,64	89,09
irland	85	61,76	97,4	64,52	64,94	80,77	72,73	100	95,45	72,73	75	68,75	83,41	80	72,02	16,67	66,67	100	33,33	64,29	76,7	66,67	81,72	87,5
russland	80	53,85	87,5	68,18	84,62	50	73,02	#DIV/0!	92,31	62,5	0	63,36	54,76	66,67	64,27	52,17	42,86	33,33	47,06	100	68,06	53,93	59,61	83,33
kroatien	93,1	#DIV/0!	100	58,82	86,36	100	50	80	100	71,43	#DIV/0!	73,81	83,33	80	62,62	0	66,67	100	20	100	87,86	28,57	86	81,25
spanien	83,82	64	74,67	72,24	79,32	73,53	64,14	74,19	88,73	66,67	#DIV/0!	63,93	63,22	68,6	65	49,15	62,79	44	26	79,38	70,26	48,84	61,82	80,23
polen	75,45	68	76,19	69,23	61,45	75	68,12	100	85,19	78,57	#DIV/0!	63,62	66,67	48,78	65,94	45,45	40	52,38	63,64	76,92	75,2	25	68,12	80
daenemark	86,54	66,67	80	73,33	88,89	93,75	55,56	100	85	69,23	100	76,23	53,33	73,33	72,22	17,39	36,36	80,95	75	66,67	80,33	33,33	67,5	76,92
ungarn	92,31	51,72	80	55,77	75,76	75	70	83,33	60	60	100	61,54	33,33	68,18	62,26	60	72,73	47,06	50	100	83,18	33,33	54,17	76,92
uk	78,42	57,89	87,6	68,6	76,07	74,7	64,52	76,67	89,7	63,68	80	71,1	64,18	56,82	72,79	47,22	72,95	74,29	29,35	68,65	77,64	41,55	66,76	73,86
schottland	66,67	66,67	81,82	62,71	79,17	90	87,88	53,85	89,8	70,83	#DIV/0!	68,33	85,71	76	62,01	0	78,57	100	50	71,43	80,4	40	68,29	72,55
italien	81	58,98	99,58	68,07	77,39	86,92	47,25	85,71	94,12	78,57	100	54,34	52,27	71,29	66,19	33,33	58,33	54,05	11,63	69,64	76,5	39,02	72,11	70,07
norwegen	89,09	57,14	83,33	66,67	88,64	78,57	60	100	86,67	78,57	39,13	67,67	76,47	68,42	72,22	62,5	27,27	55,56	66,67	75	81,82	50	86,96	69,7
frankreich	76,95	63,93	67,03	61,31	71,12	79,75	56,69	52,38	67,44	79	60	56,05	64,42	58,47	59,27	50,82	64,81	67,27	25,16	75	68,67	53,24	62,75	69,31
schweden	82,61	72,34	65,38	72,27	72,53	85,71	96	87,5	83,67	73,58	100	67,95	62,86	50	60,58	61,76	58,33	56,67	34,78	64,29	77,95	32	62,58	68,24
finnland	91,71	90	100	78,46	78,85	83,33	80,39	75	87,5	85,71	#DIV/0!	81,38	86,21	98,04	81,25	40	90	91,67	100	77,78	84,45	33,33	85,38	66,67
tschechien	64,1	100	88,37	77,42	78,05	84	59,02	0	88,89	76,92	#DIV/0!	71,73	72,73	38,46	75,17	23,53	33,33	71,43	33,33	50	72,44	0	68,35	66,67
griechenland	83,33	79,17	100	61,11	53,33	83,33	48,84	75	100	100	#DIV/0!	57,89	38,46	75	65,22	33,33	100	100	66,67	85,71	62,3	87,5	56,19	66,67
ukraine	65,71	65,48	96,3	51,19	65,71	66,67	64,86	0	91,43	63,41	0	55,17	36,27	65,12	64,41	48,13	50	74,07	18,37	62,5	57,92	22,55	56,49	59,02
niederlande	80,34	60,87	70,77	76,43	80,25	82,64	73,68	93,75	85,37	85,11	53,66	57,35	65,18	65	66,17	51,61	39,29	77,19	45	77,78	80	45,45	75,95	55,24
tuerkei	62,86	34,78	80	55	66,67	87,5	69,23	0	88,89	75	#DIV/0!	48,43	47,62	50	58,04	62,5	40	40	27,27	57,14	77,67	22,22	71,79	48,15
